signed_at,tx_hash,block_height,tx_offset,log_offset,user,purchaseamount,liquidatedcollateralamount,liquidator,collateral_token_name,collateral_wad,Reserve_token_name,reserve_wad,liquidIn,RealCollateral,transfer_size,profit,currency_amount
2022-01-05T22:31:16.0,1E223D6008B69210937438DBA48090B048E452F955211410F0279AEB723B7D73,13948161,153,256,738726961DABEF11514EC9B75E0665EE0050EBC4,130925281911,353796980,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,WBTC,100000000,USDC,1000000,130925.2819110000000000000000000000000000000000000000000000000000000000000000002,3.537969800000000000000000000000000000000000000000000000000000000000000000000013,1,307350521,
2022-01-06T09:10:16.0,96797AD42DE4779E8033861B1192BB13C01B735FD71C88675A4AFFC60693FE73,13950958,1,13,738726961DABEF11514EC9B75E0665EE0050EBC4,414675478944,128267211809218608000,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,aETH,1000000000000000000,USDC,1000000,414675.4789440000000000000000000000000000000000000000000000000000000000000000011,128.267211809218607999999999999999999999999999999999999999999999999999999999999,1,122955677223340197048,
2022-01-08T18:06:00.0,25E6E05244B80DC7DE3AE92B79EA5F7AE7084241466055484B846EB3E9372D62,13966302,145,264,5A072F9E491D098E71BEB4CC64A878955DCEAA1F,42137695090156043818051,14494734912791781734,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,aETH,1000000000000000000,Dai,1000000000000000000,42137.69509015604381805099999999999999999999999999999999999999999999999999999973,14.49473491279178173400000000000000000000000000000000000000000000000000000000001,1,14055657654800194146,
2022-01-21T03:16:23.0,9C6362296AFF17D3B0BFAD9CE45178DCE09896B2BB493BA29862683CC81E3807,14046466,93,204,A54B5D98B33E9FB8E0A9C9A0F3754E695DA1B188,68382480170,199257212,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,WBTC,100000000,USDT,1000000,68382.48017000000000000000000000000000000000000000000000000000000000000000000009,1.992572119999999999999999999999999999999999999999999999999999999999999999999999,1,179026165,
2022-01-21T19:53:05.0,E2CD8E3855DC330EA15B0284AE1E6A97E2B9D142B0FF6EB6B105247A906736A1,14050920,47,182,13ECFDD96A4CDC95CFFCFC1B6CB6C42D9FB673AE,15568126048,47336526,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,WBTC,100000000,USDT,1000000,15568.12604799999999999999999999999999999999999999999999999999999999999999999999,0.4733652599999999999999999999999999999999999999999999999999999999999999999999999,1,41134039,
2022-01-21T20:14:02.0,4AA206777EAB8A5B9EBF74ED4633A43DE4C45F71F2BA99C1ECBC1BC085E4DF31,14051011,53,229,A54B5D98B33E9FB8E0A9C9A0F3754E695DA1B188,158595944608,61177490838902048531,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,aETH,1000000000000000000,USDT,1000000,158595.9446079999999999999999999999999999999999999999999999999999999999999999992,61.17749083890204853100000000000000000000000000000000000000000000000000000000002,1,58648231277160651899,
2022-01-21T21:42:31.0,6112CC4A9B166DE8A3A20C05044B85E0D0184A4F25F8DE659A17A918F1CE079D,14051382,59,283,19654FBE6B0D05A68C3FADB833CE1FDC66F98B77,88220782950,34961737257125737896,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,aETH,1000000000000000000,USDT,1000000,88220.78295000000000000000000000000000000000000000000000000000000000000000000022,34.96173725712573789600000000000000000000000000000000000000000000000000000000011,1,33578465597044209619,
2022-01-22T05:45:21.0,5190250FB11BA7AFCCB9ED87CBC0305431214D498DB2C299CD7C00DA9AADCA61,14053606,98,112,FA65F12E326DA4AF7895E5FC71F5B383CB8E6624,11452564188319544507343,743471843607684297773,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,Dai,1000000000000000000,11452.56418831954450734299999999999999999999999999999999999999999999999999999995,743.4718436076842977729999999999999999999999999999999999999999999999999999999986,2,338753037268633774,ETH
2022-01-22T05:45:21.0,A0FBEDE436305818955C59A4D5B93D5D5217A0F1F548EE8BBF7A0884834182AC,14053606,116,212,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,507606699509,23192387734923515984,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,507606.6995090000000000000000000000000000000000000000000000000000000000000000006,23.19238773492351598399999999999999999999999999999999999999999999999999999999995,2,6080400124909283837,ETH
2022-01-22T05:45:21.0,E089ED739EDEF01550D580EC05AA2EA11ACCB42BA43EE15EB9D402554D6F822B,14053606,268,438,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,507606699509,23426265542809324948,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,507606.6995090000000000000000000000000000000000000000000000000000000000000000006,23.42626554280932494799999999999999999999999999999999999999999999999999999999995,2,1610138733886977935,ETH
2022-01-22T06:37:56.0,7B67A0C96791EEC6BB429938B06ACFB3A580B67D6DA42BD1020EEFDC99B81134,14053862,1,13,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,499572665859,24164055816976665619,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,499572.6658590000000000000000000000000000000000000000000000000000000000000000003,24.16405581697666561900000000000000000000000000000000000000000000000000000000008,2,13750938699921655471,ETH
2022-01-22T07:34:00.0,F11D4C16AA85401B657994E06C56913D9A234EFFF1BCE351A77301A07007EC67,14054095,1,47,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,393966431470,19503430041461324991,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,393966.4314700000000000000000000000000000000000000000000000000000000000000000007,19.50343004146132499099999999999999999999999999999999999999999999999999999999997,2,8541308140520733653,ETH
2022-01-22T07:34:44.0,C314318C1E2B582718EFF3C00703C1C168EE0803C80AB6200A45E0B983E9A753,14054099,46,236,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,429929124465,21553382522950222091,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,429929.1244649999999999999999999999999999999999999999999999999999999999999999998,21.5533825229502220910000000000000000000000000000000000000000000000000000000001,2,6607858270006054015,ETH
2022-01-22T07:42:14.0,744DACB2DCBD24EE6773AAFBE767AD971E8C3860AF63451939F3ECEE02DDA524,14054137,32,130,C20F93173E270ECF5F05C72596B4B7BFC020788C,89964999345051019567788,648079406849788425427,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,AAVE Token,1000000000000000000,Binance USD,1000000000000000000,89964.99934505101956778799999999999999999999999999999999999999999999999999999981,648.0794068497884254269999999999999999999999999999999999999999999999999999999998,2,3002642696867967708,ETH
2022-01-22T09:41:41.0,E2A1FAD6DE8C6E4A7D64D58C8D651418F5FF9F2705DF566757587D16588E4982,14054651,167,431,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,441687555025,22724477931371300853,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,441687.5550249999999999999999999999999999999999999999999999999999999999999999982,22.72447793137130085300000000000000000000000000000000000000000000000000000000003,2,9879367156436005655,ETH
2022-01-22T09:48:25.0,7985822CEE9FE9AF8873EADD88C80D6549328DADB0688B4829AEC138DA42CBCC,14054683,212,620,A54B5D98B33E9FB8E0A9C9A0F3754E695DA1B188,60306721425,446004454842423905817,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,AAVE Token,1000000000000000000,USDT,1000000,60306.72142500000000000000000000000000000000000000000000000000000000000000000006,446.0044548424239058169999999999999999999999999999999999999999999999999999999984,2,1230044422995057028,ETH
2022-01-22T10:03:22.0,FF953548F1013C7A50CCDAE289EBE17E516B4D817B8E697390B4575526E2373D,14054741,240,345,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,443543716896,23863186713240967044,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,443543.7168959999999999999999999999999999999999999999999999999999999999999999983,23.86318671324096704400000000000000000000000000000000000000000000000000000000007,2,11168944291804753258,ETH
2022-01-22T10:16:40.0,D97FA29CC2723FE05D33B5A3AF6E1A536485610939718FD9A1ABE7649178061C,14054805,26,143,E787DEEC0BE77DB98A1294193E2C1600C8A8687D,465502780628,25908336259836512424,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,YFI Token,1000000000000000000,USDC,1000000,465502.7806280000000000000000000000000000000000000000000000000000000000000000008,25.90833625983651242399999999999999999999999999999999999999999999999999999999996,2,7352755428221630231,ETH
2022-01-22T14:58:53.0,F64B91F6110C4D7A2ED68D7430FA14486A5AF166FDBF988F690064F3C86B06C1,14056086,52,98,AB4DBA7D9D2F650C5516CF3E0F9187E8D54A075C,8839521236,65216651090552216007,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,AAVE Token,1000000000000000000,USDT,1000000,8839.521235999999999999999999999999999999999999999999999999999999999999999999964,65.21665109055221600699999999999999999999999999999999999999999999999999999999993,2,314260404630472290,ETH
2022-01-24T08:00:02.0,4A2A2ACCBE9931AC798E100B7FDA58060A852F4AB4BC18F0C3B43FF21679BAD1,14067126,39,128,FA65F12E326DA4AF7895E5FC71F5B383CB8E6624,5728342849656669970193,412307191396404318397,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,Dai,1000000000000000000,5728.342849656669970193000000000000000000000000000000000000000000000000000000034,412.3071913964043183970000000000000000000000000000000000000000000000000000000005,2,221202990444239916,ETH
2022-01-24T09:24:14.0,E90D0A344D844509FFF16E94450438F8124F5B6FA5B72A5861132C0834B56054,14067521,18,36,5A072F9E491D098E71BEB4CC64A878955DCEAA1F,9415350212752456589731,696044674351136175401,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,LINK,1000000000000000000,Dai,1000000000000000000,9415.350212752456589730999999999999999999999999999999999999999999999999999999984,696.0446743511361754010000000000000000000000000000000000000000000000000000000027,2,335309783383164508,ETH
2022-01-24T11:05:52.0,326596C73D648D3E1F8457D87F88454D5C1C3E93CD7EA44EE18C57F6E3B724CA,14067972,41,240,A2DCAE09E138FE9D1808FB75A749FC36CA82B035,35763736415,16895804019529459430,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,aETH,1000000000000000000,USDC,1000000,35763.73641499999999999999999999999999999999999999999999999999999999999999999981,16.89580401952945942999999999999999999999999999999999999999999999999999999999992,1,16575758808642835324,
2022-01-24T12:34:29.0,2520FFDD126D2616DE7ACEB5AB5D57F8F9D6B3980C35A11AC2720914A75B25E4,14068354,53,102,14796E88E8EEA7FE5C0DE48A4BB74B9EF2526035,3788472106,13156867,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,WBTC,100000000,USDT,1000000,3788.472105999999999999999999999999999999999999999999999999999999999999999999983,0.1315686700000000000000000000000000000000000000000000000000000000000000000000004,1,11415225,
2022-01-24T12:47:36.0,9DCD95B00AFCC63EA90EAEA016240DCF9323C9DAAFD2E1B518277E7000FBE1B5,14068425,183,463,19654FBE6B0D05A68C3FADB833CE1FDC66F98B77,19704706738,9421721290113843835,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,aETH,1000000000000000000,USDC,1000000,19704.70673800000000000000000000000000000000000000000000000000000000000000000014,9.421721290113843835000000000000000000000000000000000000000000000000000000000047,1,9037119971173929250,
2022-01-24T12:52:24.0,C709E96C0EF519775422567E540F9637AF669B59653D473FAD38EE098B59F00C,14068440,5,30,9F3C2254414C852B83C727B257B6EAB9418CF914,148563335712545632965060,513282316,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,WBTC,100000000,Binance USD,1000000000000000000,148563.3357125456329650600000000000000000000000000000000000000000000000000000004,5.132823159999999999999999999999999999999999999999999999999999999999999999999983,1,449808946,
2022-01-24T12:52:24.0,1DC5B6746EDCDAB2DDD93029076C38D23425A4945B09D5720BCD4B98C38C5E16,14068440,8,87,095E5D0FA083BF92F09E590C899AA962DD1BB5C7,55914614398815534669863,456601421881382196822,B2B3D5B6215D4FB23BF8DD642D385C4B44AADB2A,AAVE Token,1000000000000000000,TrueUSD,1000000000000000000,55914.61439881553466986300000000000000000000000000000000000000000000000000000022,456.6014218813821968219999999999999999999999999999999999999999999999999999999979,2,2018427138611993556,ETH
